country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Brazil,2020-02-15,3.8214285714285716,3.5357142857142856,-5.75,1.7857142857142858,5.214285714285714,0.2857142857142857
Brazil,2020-02-16,-0.07142857142857142,2.3214285714285716,-9.964285714285714,-2.2142857142857144,-0.07142857142857142,1.7857142857142858
Brazil,2020-02-17,-3.0,-0.25,-9.928571428571429,3.3214285714285716,16.892857142857142,-0.5
Brazil,2020-02-18,-2.642857142857143,-1.5,-8.678571428571429,3.0,15.535714285714286,-0.75
Brazil,2020-02-19,-2.9285714285714284,-2.5357142857142856,-7.607142857142857,1.5714285714285714,14.642857142857142,-0.6785714285714286
Brazil,2020-02-20,0.07142857142857142,2.607142857142857,-3.642857142857143,4.535714285714286,14.25,-0.9285714285714286
Brazil,2020-02-21,1.2857142857142858,8.392857142857142,-3.892857142857143,9.214285714285714,13.678571428571429,-0.9642857142857143
Brazil,2020-02-22,-2.9285714285714284,6.25,11.75,6.678571428571429,-3.7142857142857144,0.07142857142857142
Brazil,2020-02-23,0.75,5.285714285714286,31.142857142857142,-8.392857142857142,-3.7857142857142856,0.6428571428571429
Brazil,2020-02-24,-15.571428571428571,-10.25,60.82142857142857,-30.035714285714285,-45.07142857142857,7.071428571428571
Brazil,2020-02-25,-29.321428571428573,-30.464285714285715,53.57142857142857,-31.357142857142858,-59.785714285714285,7.964285714285714
Brazil,2020-02-26,-18.214285714285715,-12.464285714285714,-3.25,-14.214285714285714,-22.714285714285715,5.214285714285714
Brazil,2020-02-27,-7.75,-1.2857142857142858,-9.714285714285714,-1.9642857142857142,11.035714285714286,0.75
Brazil,2020-02-28,-5.642857142857143,2.142857142857143,-18.107142857142858,-4.285714285714286,14.571428571428571,1.0714285714285714
Brazil,2020-02-29,-2.857142857142857,4.964285714285714,-19.857142857142858,-6.357142857142857,4.964285714285714,3.142857142857143
Brazil,2020-03-01,-8.5,3.8214285714285716,-24.142857142857142,-8.714285714285714,-0.5714285714285714,4.428571428571429
Brazil,2020-03-02,-5.178571428571429,2.5,-18.035714285714285,0.6785714285714286,18.178571428571427,-0.35714285714285715
Brazil,2020-03-03,-3.4642857142857144,2.5,-14.75,1.6428571428571428,16.428571428571427,-0.6428571428571429
Brazil,2020-03-04,-2.392857142857143,1.8928571428571428,-10.392857142857142,1.5357142857142858,16.821428571428573,-0.7142857142857143
Brazil,2020-03-05,0.5357142857142857,4.714285714285714,-5.785714285714286,4.642857142857143,17.428571428571427,-1.1785714285714286
