country,date,deaths
United States,2020-01-22,0
United States,2020-01-23,0
United States,2020-01-24,0
United States,2020-01-25,0
United States,2020-01-26,0
United States,2020-01-27,0
United States,2020-01-28,0
United States,2020-01-29,0
United States,2020-01-30,0
United States,2020-01-31,0
United States,2020-02-01,0
United States,2020-02-02,0
United States,2020-02-03,0
United States,2020-02-04,0
United States,2020-02-05,0
United States,2020-02-06,0
United States,2020-02-07,0
United States,2020-02-08,0
United States,2020-02-09,0
United States,2020-02-10,0
United States,2020-02-11,0
United States,2020-02-12,0
United States,2020-02-13,0
United States,2020-02-14,0
United States,2020-02-15,0
United States,2020-02-16,0
United States,2020-02-17,0
United States,2020-02-18,0
United States,2020-02-19,0
United States,2020-02-20,0
United States,2020-02-21,0
United States,2020-02-22,0
United States,2020-02-23,0
United States,2020-02-24,0
United States,2020-02-25,0
United States,2020-02-26,0
United States,2020-02-27,0
United States,2020-02-28,0
United States,2020-02-29,1
United States,2020-03-01,1
United States,2020-03-02,6
United States,2020-03-03,7
United States,2020-03-04,11
United States,2020-03-05,12
United States,2020-03-06,14
United States,2020-03-07,17
United States,2020-03-08,21
United States,2020-03-09,22
United States,2020-03-10,28
United States,2020-03-11,36
United States,2020-03-12,41
United States,2020-03-13,49
United States,2020-03-14,58
United States,2020-03-15,73
United States,2020-03-16,99
United States,2020-03-17,133
United States,2020-03-18,164
United States,2020-03-19,258
United States,2020-03-20,349
United States,2020-03-21,442
United States,2020-03-22,586
United States,2020-03-23,786
United States,2020-03-24,1008
United States,2020-03-25,1316
United States,2020-03-26,1726
United States,2020-03-27,2265
United States,2020-03-28,2731
United States,2020-03-29,3420
United States,2020-03-30,4192
United States,2020-03-31,5367
United States,2020-04-01,6501
United States,2020-04-02,7921
United States,2020-04-03,9246
United States,2020-04-04,10855
United States,2020-04-05,12375
United States,2020-04-06,13894
United States,2020-04-07,16191
United States,2020-04-08,18270
United States,2020-04-09,20255
United States,2020-04-10,22333
United States,2020-04-11,24342
United States,2020-04-12,26086
United States,2020-04-13,27870
United States,2020-04-14,30262
United States,2020-04-15,32734
United States,2020-04-16,34827
United States,2020-04-17,37411
United States,2020-04-18,39753
United States,2020-04-19,40945
United States,2020-04-20,42659
United States,2020-04-21,45086
United States,2020-04-22,47412
United States,2020-04-23,49724
United States,2020-04-24,51493
United States,2020-04-25,53755
United States,2020-04-26,54881
United States,2020-04-27,56219
United States,2020-04-28,58355
United States,2020-04-29,60967
United States,2020-04-30,62996
United States,2020-05-01,64943
United States,2020-05-02,66369
United States,2020-05-03,67682
United States,2020-05-04,68922
United States,2020-05-05,71064
United States,2020-05-06,73455
United States,2020-05-07,75662
United States,2020-05-08,77180
