country,date,recovered
United States,2020-01-22,0
United States,2020-01-23,0
United States,2020-01-24,0
United States,2020-01-25,0
United States,2020-01-26,0
United States,2020-01-27,0
United States,2020-01-28,0
United States,2020-01-29,0
United States,2020-01-30,0
United States,2020-01-31,0
United States,2020-02-01,0
United States,2020-02-02,0
United States,2020-02-03,0
United States,2020-02-04,0
United States,2020-02-05,0
United States,2020-02-06,0
United States,2020-02-07,0
United States,2020-02-08,0
United States,2020-02-09,3
United States,2020-02-10,3
United States,2020-02-11,3
United States,2020-02-12,3
United States,2020-02-13,3
United States,2020-02-14,3
United States,2020-02-15,3
United States,2020-02-16,3
United States,2020-02-17,3
United States,2020-02-18,3
United States,2020-02-19,3
United States,2020-02-20,3
United States,2020-02-21,5
United States,2020-02-22,5
United States,2020-02-23,5
United States,2020-02-24,5
United States,2020-02-25,6
United States,2020-02-26,6
United States,2020-02-27,6
United States,2020-02-28,7
United States,2020-02-29,7
United States,2020-03-01,7
United States,2020-03-02,7
United States,2020-03-03,7
United States,2020-03-04,7
United States,2020-03-05,7
United States,2020-03-06,7
United States,2020-03-07,7
United States,2020-03-08,7
United States,2020-03-09,7
United States,2020-03-10,8
United States,2020-03-11,8
United States,2020-03-12,12
United States,2020-03-13,12
United States,2020-03-14,12
United States,2020-03-15,12
United States,2020-03-16,17
United States,2020-03-17,17
United States,2020-03-18,105
United States,2020-03-19,121
United States,2020-03-20,147
United States,2020-03-21,176
United States,2020-03-22,178
United States,2020-03-23,178
United States,2020-03-24,348
United States,2020-03-25,361
United States,2020-03-26,681
United States,2020-03-27,869
United States,2020-03-28,1072
United States,2020-03-29,2665
United States,2020-03-30,5644
United States,2020-03-31,7024
United States,2020-04-01,8474
United States,2020-04-02,9001
United States,2020-04-03,9707
United States,2020-04-04,14652
United States,2020-04-05,17448
United States,2020-04-06,19581
United States,2020-04-07,21763
United States,2020-04-08,23559
United States,2020-04-09,25410
United States,2020-04-10,28790
United States,2020-04-11,31270
United States,2020-04-12,32988
United States,2020-04-13,43482
United States,2020-04-14,47763
United States,2020-04-15,52096
United States,2020-04-16,54703
United States,2020-04-17,58545
United States,2020-04-18,64840
United States,2020-04-19,70337
United States,2020-04-20,72329
United States,2020-04-21,75204
United States,2020-04-22,77366
United States,2020-04-23,80203
United States,2020-04-24,99079
United States,2020-04-25,100372
United States,2020-04-26,106988
United States,2020-04-27,111424
United States,2020-04-28,115936
United States,2020-04-29,120720
United States,2020-04-30,153947
United States,2020-05-01,164015
United States,2020-05-02,175382
United States,2020-05-03,180152
United States,2020-05-04,187180
United States,2020-05-05,189791
United States,2020-05-06,189910
United States,2020-05-07,195036
United States,2020-05-08,198993
United States,2020-05-09,212534
