country,date,cases
United States,2020-04-25,877711.3360812216
United States,2020-04-26,889685.438570945
United States,2020-04-27,900290.8391893696
United States,2020-04-28,909654.1213092046
United States,2020-04-29,917897.5488089352
United States,2020-04-30,925137.1077639556
United States,2020-05-01,931481.2336113837
United States,2020-05-02,937030.09130518
United States,2020-05-03,941875.2855725621
United States,2020-05-04,946099.8932295223
United States,2020-05-05,949778.7264475494
United States,2020-05-06,952978.7527772917
United States,2020-05-07,955759.6133609641
United States,2020-05-08,958174.1944546303
United States,2020-05-09,960269.2189058716
United States,2020-05-10,962085.8336283235
United States,2020-05-11,963660.1765681496
United States,2020-05-12,965023.9124250017
United States,2020-05-13,966204.7307467418
United States,2020-05-14,967226.8032273343
United States,2020-05-15,968111.1993378563
United States,2020-05-16,968876.261014728
United States,2020-05-17,969537.9381856496
United States,2020-05-18,970110.0875686315
United States,2020-05-19,970604.7375407661
United States,2020-05-20,971032.3220248299
United States,2020-05-21,971401.8863474283
United States,2020-05-22,971721.2679303406
United States,2020-05-23,971997.2545226102
United States,2020-05-24,972235.7224906639
United States,2020-05-25,972441.7574757634
United States,2020-05-26,972619.7595153073
United States,2020-05-27,972773.5345155154
United States,2020-05-28,972906.3737635157
United States,2020-05-29,973021.1229801392
United States,2020-05-30,973120.2422426332
India,2020-04-25,25241.102497578195
India,2020-04-26,26351.745362758626
India,2020-04-27,27391.503790083498
India,2020-04-28,28356.751974515722
India,2020-04-29,29245.860375977336
India,2020-04-30,30058.964423542988
India,2020-05-01,30797.683682111903
India,2020-05-02,31464.821094273964
India,2020-05-03,32064.066562656615
India,2020-05-04,32599.722613823233
India,2020-05-05,33076.46338631246
India,2020-05-06,33499.13250965334
India,2020-05-07,33872.58098883689
India,2020-05-08,34201.543067323386
India,2020-05-09,34490.54609361278
India,2020-05-10,34743.84943846672
India,2020-05-11,34965.407248267016
India,2020-05-12,35158.850037874734
India,2020-05-13,35327.480627776735
India,2020-05-14,35474.28056751042
India,2020-05-15,35601.92385798174
India,2020-05-16,35712.79542471782
India,2020-05-17,35809.01236639301
India,2020-05-18,35892.446492395444
India,2020-05-19,35964.74706717231
India,2020-05-20,36027.36300283593
India,2020-05-21,36081.56399428194
India,2020-05-22,36128.460283648405
India,2020-05-23,36169.02088409231
India,2020-05-24,36204.09019647158
India,2020-05-25,36234.40302521422
India,2020-05-26,36260.59804866434
India,2020-05-27,36283.22983041261
India,2020-05-28,36302.77947624288
India,2020-05-29,36319.66405002592
India,2020-05-30,36334.24486397991
Italy,2020-04-25,185133.61178173125
