country,population,population_density
Afghanistan,38041.757000000005,58.269
Africa,1308064.176,44.119
African Group,1306320.572,44.464
African Union,1306903.03,44.085
African Union: Central Africa,154013.705,29.191999999999997
African Union: Eastern Africa,382531.219,59.835
African Union: Northern Africa,203493.22600000002,28.925
African Union: Southern Africa,179956.492,30.458000000000002
African Union: Western Africa,386908.388,76.875
"African, Caribbean and Pacific (ACP) Group of States",1150190.575,47.628
Albania,2880.913,105.14299999999999
Algeria,43053.054000000004,18.076
American Samoa,55.312,276.56
Andean Community,111736.664,30.026999999999997
Andorra,77.146,164.14
Angola,31825.299,25.528000000000002
Anguilla,14.872,165.24400000000003
Antigua and Barbuda,97.115,220.71599999999998
Argentina,44780.675,16.363
Armenia,2957.728,103.889
Aruba,106.31,590.611
Asia,4601371.266,148.273
Asia-Pacific Economic Cooperation (APEC),2956245.278,49.16
Asia-Pacific Group,4582136.259,146.19799999999998
Association of Southeast Asian Nations (ASEAN),660718.726,152.738
Australia,25203.2,3.281
Australia/New Zealand,29986.262000000002,3.7739999999999996
Austria,8955.108,108.667
Azerbaijan,10047.719000000001,121.55799999999999
BRIC,3157123.227,85.10600000000001
BRICS,3215681.494,83.94
Bahamas,389.486,38.91
Bahrain,1641.164,2159.426
Bangladesh,163046.173,1252.563
Barbados,287.02099999999996,667.4910000000001
Belarus,9452.409,46.583999999999996
Belgium,11539.326000000001,381.087
Belize,390.351,17.113
Belt-Road Initiative (BRI),3353564.722,49.727
Belt-Road Initiative: Africa,1164118.622,48.048
Belt-Road Initiative: Asia,1552928.523,90.46700000000001
Belt-Road Initiative: Europe,414572.416,21.705
Belt-Road Initiative: Latin America and the Caribbean,206761.581,33.384
Belt-Road Initiative: Pacific,15183.58,20.208
Benin,11801.151000000002,104.65700000000001
Bermuda,62.508,1250.16
Bhutan,763.0939999999999,20.02
Black Sea Economic Cooperation (BSEC),342832.245,18.51
Bolivarian Alliance for the Americas (ALBA),58535.065,26.668000000000003
Bolivia (Plurinational State of),11513.101999999999,10.628
"Bonaire, Sint Eustatius and Saba",25.983,79.21600000000001
Bosnia and Herzegovina,3300.998,64.725
Botswana,2303.703,4.065
Brazil,211049.51899999997,25.250999999999998
British Virgin Islands,30.033,200.22
Brunei Darussalam,433.296,82.219
Bulgaria,7000.116999999999,64.482
Burkina Faso,20321.383,74.274
Burundi,11530.577,449.01
Cabo Verde,549.936,136.461
Cambodia,16486.542,93.398
Cameroon,25876.387000000002,54.74100000000001
Canada,37411.038,4.114
Caribbean,43335.005999999994,191.74
Caribbean Community and Common Market (CARICOM),18669.459,43.165
Cayman Islands,64.94800000000001,270.617
Central African Republic,4745.179,7.617000000000001
Central America,177586.525,72.417
Central Asia,73212.11099999999,18.644000000000002
Central European Free Trade Agreement (CEFTA),25839.142000000003,88.086
Central and Southern Asia,1991423.507,192.838
Chad,15946.882,12.664000000000001
Channel Islands,172.264,906.653
Chile,18952.035,25.489
China,1433783.6919999998,152.722
China (and dependencies),1465634.176,155.51
"China, Hong Kong SAR",7436.156999999999,7082.054
"China, Macao SAR",640.446,21419.599
"China, Taiwan Province of China",23773.881,671.3889999999999
Colombia,50339.443,45.371
Commonwealth of Independent States (CIS),289579.128,13.64
Commonwealth of Nations,2529752.075,84.391
Commonwealth: Africa,569747.835,74.477
Commonwealth: Asia,1805540.408,422.69800000000004
Commonwealth: Caribbean and Americas,44231.064000000006,4.734
Commonwealth: Europe,69169.11200000001,275.03700000000003
Commonwealth: Pacific,41063.656,4.853
Comoros,850.8910000000001,457.222
Congo,5380.504,15.755999999999998
Cook Islands,17.547,73.112
Costa Rica,5047.561,98.855
Countries with Access to the Sea,7130128.743,63.141000000000005
Countries with Access to the Sea: Africa,975801.688,45.8
Countries with Access to the Sea: Asia,4437345.52,182.03400000000002
Countries with Access to the Sea: Europe,678689.328,31.647
Countries with Access to the Sea: Latin America and the Caribbean,629563.215,33.741
Countries with Access to the Sea: Northern America,366600.94399999996,19.655
Countries with Access to the Sea: Oceania,42128.047999999995,4.9639999999999995
Croatia,4130.299,73.808
Cuba,11333.483999999999,106.478
Curaçao,163.423,368.07
Cyprus,1198.5739999999998,129.716
Czechia,10689.213,138.39
Côte d'Ivoire,25716.554,80.87
Dem. People's Republic of Korea,25666.158,213.15599999999998
Democratic Republic of the Congo,86790.56800000001,38.283
Denmark,5771.8769999999995,136.033
Denmark (and dependencies),5877.214,12.937999999999999
Djibouti,973.557,42.0
Dominica,71.808,95.744
Dominican Republic,10738.957,222.247
ECE: North America-2,366475.955,20.090999999999998
ECE: UNECE-52,1296492.596,28.631999999999998
ECLAC: Latin America,636072.786,32.41
ECLAC: The Caribbean,12044.798,24.015
ESCAP region: East and North-East Asia,1648837.239,143.066
ESCAP region: North and Central Asia,236086.58,11.525
ESCAP region: Pacific,42115.282,4.963
ESCAP region: South and South-West Asia,2001641.003,279.178
ESCAP region: South-East Asia,662011.846,152.513
ESCAP: ADB Developing member countries (DMCs),4029580.432,163.321
ESCAP: ADB Group A (Concessional assistance only),162966.739,71.714
ESCAP: ADB Group B (OCR blend),1792323.3669999999,283.533
ESCAP: ADB Group C (Regular OCR only),2074290.326,129.007
ESCAP: ASEAN,660718.726,152.738
ESCAP: Central Asia,90214.32,21.964000000000002
ESCAP: ECO,504210.404,64.383
ESCAP: HDI groups,4590691.95,88.272
ESCAP: Landlocked countries (LLDCs),164025.74599999998,24.641
ESCAP: Least Developed Countries (LDCs),310553.245,149.233
ESCAP: Pacific island dev. econ.,12129.02,22.432
ESCAP: SAARC,1835297.503,384.631
ESCAP: WB High income econ.,223183.438,26.451999999999998
ESCAP: WB Low income econ.,92316.63,100.714
ESCAP: WB Lower middle income econ.,2387495.225,231.62400000000002
ESCAP: WB Upper middle income econ.,1887677.496,58.363
ESCAP: WB income groups,4590672.789,88.273
ESCAP: high HDI,222610.63199999998,26.453000000000003
ESCAP: high income,222836.176,26.423000000000002
ESCAP: income groups,4590691.95,88.272
ESCAP: low HDI,1911735.616,297.845
ESCAP: low income,2073030.029,277.71
ESCAP: lower middle HDI,2057885.279,135.97299999999998
ESCAP: lower middle income,580268.2760000001,88.73200000000001
ESCAP: other Asia-Pacific countries/areas,197481.05,50.882
ESCAP: upper middle HDI,398460.42299999995,18.081
ESCAP: upper middle income,1714557.469,57.986000000000004
ESCWA: Arab countries,428166.38899999997,32.909
ESCWA: Arab least developed countries,93768.211,23.583000000000002
ESCWA: Gulf Cooperation Council countries,57694.359000000004,22.423000000000002
ESCWA: Maghreb countries,97996.994,20.662
ESCWA: Mashreq countries,178706.825,103.994
ESCWA: member countries,367845.981,36.872
East African Community (EAC),190068.64399999997,82.066
Eastern Africa,433904.94299999997,65.078
Eastern Asia,1672611.12,144.684
Eastern Europe,293444.92100000003,16.255
Eastern European Group,340313.68799999997,18.217
Eastern and South-Eastern Asia,2334622.966,146.821
Economic Community of Central African States (ECCAS),198465.94199999998,30.313000000000002
Economic Community of West African States (ECOWAS),386908.388,76.875
Economic Cooperation Organization (ECO),504210.404,64.383
Ecuador,17373.657,69.954
Egypt,100388.076,100.84700000000001
El Salvador,6453.55,311.465
Equatorial Guinea,1355.9820000000002,48.342
Eritrea,3497.117,34.625
Estonia,1325.649,31.273000000000003
Eswatini,1148.133,66.752
Ethiopia,112078.727,112.079
Eurasian Economic Community (Eurasec),222594.68600000002,11.109000000000002
Europe,747182.815,33.756
Europe,747182.815,33.756
Europe (48),747182.815,33.756
Europe and Northern America,1113783.759,27.308000000000003
European Community (EC: 12),384069.99600000004,164.88
European Free Trade Agreement (EFTA),14347.277,28.4
European Union (EU: 15),408593.654,130.707
European Union (EU: 28),512516.929,120.883
Falkland Islands (Malvinas),3.372,0.27699999999999997
Faroe Islands,48.677,34.869
Fiji,889.955,48.711000000000006
Finland,5532.159000000001,18.204
France,65129.731,118.946
France (and dependencies),67978.398,103.35700000000001
French Guiana,290.823,3.5380000000000003
French Polynesia,279.285,76.307
Gabon,2172.578,8.432
Gambia,2347.696,231.986
Georgia,3996.762,57.516000000000005
Germany,83517.046,239.606
Ghana,30417.857999999997,133.681
Gibraltar,33.705999999999996,3370.6
Greater Arab Free Trade Area (GAFTA),406373.33700000006,35.875
Greece,10473.452,81.253
Greenland,56.66,0.138
Grenada,112.00200000000001,329.418
Group of 77 (G77),6060094.962,81.595
Group of Eight (G8),915935.5440000001,25.153000000000002
Group of Seven (G7),770063.2840000001,38.431
Group of Twenty (G20) - member states,4622853.206,61.199
Guadeloupe,400.048,245.73
Guam,167.295,309.806
Guatemala,17581.476000000002,164.06799999999998
Guinea,12771.246000000001,51.975
Guinea-Bissau,1920.9170000000001,68.311
Gulf Cooperation Council (GCC),57694.359000000004,22.423000000000002
Guyana,782.775,3.977
Haiti,11263.079,408.675
High-income countries,1258043.4840000002,33.205999999999996
Holy See,0.815,1852.273
Honduras,9746.115,87.104
Hungary,9684.68,106.978
Iceland,339.037,3.3819999999999997
India,1366417.756,459.58
Indonesia,270625.567,149.387
Iran (Islamic Republic of),82913.893,50.913000000000004
Iraq,39309.789,90.509
Ireland,4882.498,70.874
Isle of Man,84.589,148.40200000000002
Israel,8519.373,393.686
Italy,60550.092000000004,205.855
Jamaica,2948.277,272.232
Japan,126860.299,347.98699999999997
Jordan,10101.697,113.78299999999999
Kazakhstan,18551.428,6.872000000000001
Kenya,52573.967000000004,92.374
Kiribati,117.60799999999999,145.195
Kuwait,4207.077,236.08700000000002
Kyrgyzstan,6415.851,33.451
LLDC: Africa,332262.488,39.827
LLDC: Asia,164025.74599999998,24.641
LLDC: Europe,6126.715999999999,105.506
LLDC: Latin America,18557.741,12.534
Land-locked Countries,583340.277,33.976
Land-locked Countries (Others),62367.585999999996,98.771
Land-locked Developing Countries (LLDC),520972.691,31.502
Lao People's Democratic Republic,7169.456,31.064
Latin America and the Caribbean,648120.956,32.181999999999995
Latin America and the Caribbean,648120.956,32.181999999999995
Latin American Integration Association (ALADI),568696.545,29.715
Latin American and Caribbean Group (GRULAC),643474.175,32.125
Latvia,1906.74,30.655
"League of Arab States (LAS, informal name: Arab League)",428166.38899999997,32.909
Least developed countries,1033388.868,51.315
Least developed: Africa,682410.622,38.991
Least developed: Asia,338616.201,131.863
Least developed: Latin America and the Caribbean,11263.079,408.675
Least developed: Oceania,1098.9660000000001,26.791
Lebanon,6855.709,670.1569999999999
Lesotho,2125.2670000000003,70.002
Less developed regions,6442837.885,79.544
"Less developed regions, excluding China",4977203.709,69.541
"Less developed regions, excluding least developed countries",5409449.017000001,88.885
Less developed: Africa,1308064.176,44.119
Less developed: Asia,4474510.967,145.899
Less developed: Latin America and the Caribbean,648120.956,32.181999999999995
Less developed: Oceania,12141.786,22.449
Liberia,4937.374,51.26
Libya,6777.453,3.852
Liechtenstein,38.02,237.625
Lithuania,2759.631,44.032
Low-income countries,755849.7409999999,50.919
Lower-middle-income countries,3057708.8839999996,142.498
Luxembourg,615.73,237.734
Madagascar,26969.306,46.355
Malawi,18628.749,197.59
Malaysia,31949.789,97.245
Maldives,530.957,1769.8570000000002
Mali,19658.023,16.111
Malta,440.37699999999995,1376.1779999999999
Marshall Islands,58.791000000000004,326.617
Martinique,375.55699999999996,354.29900000000004
Mauritania,4525.698,4.391
Mauritius,1269.67,625.453
Mayotte,266.153,709.7410000000001
Melanesia,10918.534,20.616999999999997
Mexico,127575.52900000001,65.627
Micronesia,543.4830000000001,171.446
Micronesia (Fed. States of),113.811,162.58700000000002
Middle Africa,174308.427,26.83
Middle-income countries,5696667.313999999,73.986
Monaco,38.967,26152.349
Mongolia,3225.1659999999997,2.076
Montenegro,627.988,46.691
Montserrat,4.9910000000000005,49.91
More developed regions,1270630.32,25.88
More developed: Asia,126860.299,347.98699999999997
More developed: Europe,747182.815,33.756
More developed: Northern America,366600.94399999996,19.655
More developed: Oceania,29986.262000000002,3.7739999999999996
Morocco,36471.766,81.72
Mozambique,30366.042999999998,38.615
Myanmar,54045.422,82.728
Namibia,2494.524,3.03
Nauru,10.764000000000001,538.2
Nepal,28608.715,199.572
Netherlands,17097.123,507.032
Netherlands (and dependencies),17435.228,502.369
New Caledonia,282.757,15.468
New EU member states (joined since 2004),103923.275,93.31
New Zealand,4783.062,18.165
New Zealand (and dependencies),4803.553,18.208
Nicaragua,6545.503000000001,54.391999999999996
Niger,23310.718999999997,18.403
Nigeria,200963.603,220.65200000000002
Niue,1.614,6.207999999999999
No income group available,2907.6659999999997,7.907
Non-Self-Governing Territories,1731.701,5.712000000000001
North American Free Trade Agreement (NAFTA),494051.484,24.476
North Atlantic Treaty Organization (NATO),940604.181,41.107
North Macedonia,2083.458,82.611
Northern Africa,241780.765,31.119
Northern Africa and Western Asia,517105.55799999996,41.123000000000005
Northern America,366600.94399999996,19.655
Northern America,366600.94399999996,19.655
Northern Europe,105768.53199999999,62.128
Northern Mariana Islands,57.213,124.376
Norway,5378.859,14.725999999999999
Oceania,42128.047999999995,4.9639999999999995
Oceania (excluding Australia and New Zealand),12141.786,22.449
Oman,4974.992,16.074
Organisation for Economic Co-operation and Development (OECD),1307716.642,37.94
Organization for Security and Co-operation in Europe (OSCE),1291387.201,27.586
Organization of American States (OAS),1009950.13,26.389
Organization of Petroleum Exporting countries (OPEC),507887.773,41.056999999999995
Organization of the Islamic Conference (OIC),1872842.323,60.068000000000005
Pakistan,216565.31699999998,280.933
Palau,18.000999999999998,39.133
Panama,4246.44,57.122
Papua New Guinea,8776.119,19.379
Paraguay,7044.639,17.730999999999998
Peru,32510.462000000003,25.399
Philippines,108116.62199999999,362.601
Poland,37887.771,123.723
Polynesia,679.7689999999999,84.02600000000001
Portugal,10226.178,111.652
Puerto Rico,2933.4040000000005,330.711
Qatar,2832.071,243.93400000000003
Republic of Korea,51225.320999999996,526.847
Republic of Moldova,4043.258,123.08200000000001
Romania,19364.558,84.132
Russian Federation,145872.26,8.907
Rwanda,12626.938,511.834
Réunion,888.932,355.57300000000004
"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",15990.784,37.205
SIDS Caribbean,43309.023,191.90400000000002
SIDS Pacific,12129.02,22.432
Saint Barthélemy,9.853,447.86400000000003
Saint Helena,6.061,15.540999999999999
Saint Kitts and Nevis,52.833999999999996,203.208
Saint Lucia,182.795,299.664
Saint Martin (French part),38.001999999999995,717.0189999999999
Saint Pierre and Miquelon,5.821000000000001,25.309
Saint Vincent and the Grenadines,110.59299999999999,283.572
Samoa,197.093,69.64399999999999
San Marino,33.864000000000004,564.4
Sao Tome and Principe,215.048,224.00799999999998
Saudi Arabia,34268.529,15.940999999999999
Senegal,16296.362,84.64299999999999
Serbia,8772.228000000001,100.3
Seychelles,97.741,212.48
Shanghai Cooperation Organization (SCO),3229909.042,97.977
Sierra Leone,7813.206999999999,108.24600000000001
Singapore,5804.343000000001,8291.919
Sint Maarten (Dutch part),42.388999999999996,1246.735
Slovakia,5457.012,113.48
Slovenia,2078.654,103.21
Small Island Developing States (SIDS),71428.827,59.714
Solomon Islands,669.821,23.930999999999997
Somalia,15442.906,24.616
South Africa,58558.267,48.272
South America,427199.425,24.465999999999998
South Asian Association for Regional Cooperation (SAARC),1835297.503,384.631
South Sudan,11062.114,18.105999999999998
South-Eastern Asia,662011.846,152.513
Southern Africa,66629.894,25.136999999999997
Southern African Development Community (SADC),353940.12899999996,36.688
Southern Asia,1918211.396,299.715
Southern Common Market (MERCOSUR),306365.495,22.473000000000003
Southern Europe,152446.95,117.727
Spain,46736.782,93.698
Sri Lanka,21323.734,340.037
State of Palestine,4981.4220000000005,827.4789999999999
Sub-Saharan Africa,1066283.4109999998,48.735
Sudan,42813.237,24.256
Suriname,581.363,3.727
Sweden,10036.391,24.459
Switzerland,8591.360999999999,217.415
Syrian Arab Republic,17070.131999999998,92.959
Tajikistan,9321.023000000001,66.598
Thailand,69625.58099999999,136.283
Timor-Leste,1293.12,86.962
Togo,8082.359,148.6
Tokelau,1.33,133.0
Tonga,104.49700000000001,145.135
Trinidad and Tobago,1394.969,271.92400000000004
Tunisia,11694.721000000001,75.275
Turkey,83429.607,108.402
Turkmenistan,5942.094,12.645
Turks and Caicos Islands,38.194,40.204
Tuvalu,11.655,388.5
UN-ECE: member countries,1296680.5929999999,28.636
UNFPA Regions,6358800.278,80.319
UNFPA: Arab States (AS),370070.43299999996,38.095
UNFPA: Asia and the Pacific (AP),4047949.107,181.40400000000002
UNFPA: East and Southern Africa (ESA),601481.415,49.391000000000005
UNFPA: Eastern Europe and Central Asia (EECA),248170.83399999997,42.183
UNFPA: Latin America and the Caribbean (LAC),644001.843,32.147
