country,date,cases,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,cases_lag_5,cases_lag_6,cases_lag_7,cases_lag_8,cases_lag_9,cases_lag_10,cases_lag_11,cases_lag_12,cases_lag_13,cases_lag_14,cases_lag_15,cases_lag_16,cases_lag_17,cases_lag_18,cases_lag_19
United States,2020-01-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2020-01-23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2020-01-24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2020-01-25,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2020-01-26,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2020-01-27,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2020-01-28,5,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2020-01-29,5,5,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
United States,2020-01-30,5,5,5,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
United States,2020-01-31,7,5,5,5,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0
United States,2020-02-01,8,7,5,5,5,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0
United States,2020-02-02,8,8,7,5,5,5,5,5,2,2,1,1,0,0,0,0,0,0,0,0
United States,2020-02-03,11,8,8,7,5,5,5,5,5,2,2,1,1,0,0,0,0,0,0,0
United States,2020-02-04,11,11,8,8,7,5,5,5,5,5,2,2,1,1,0,0,0,0,0,0
United States,2020-02-05,11,11,11,8,8,7,5,5,5,5,5,2,2,1,1,0,0,0,0,0
United States,2020-02-06,11,11,11,11,8,8,7,5,5,5,5,5,2,2,1,1,0,0,0,0
United States,2020-02-07,11,11,11,11,11,8,8,7,5,5,5,5,5,2,2,1,1,0,0,0
United States,2020-02-08,11,11,11,11,11,11,8,8,7,5,5,5,5,5,2,2,1,1,0,0
United States,2020-02-09,11,11,11,11,11,11,11,8,8,7,5,5,5,5,5,2,2,1,1,0
United States,2020-02-10,11,11,11,11,11,11,11,11,8,8,7,5,5,5,5,5,2,2,1,1
United States,2020-02-11,12,11,11,11,11,11,11,11,11,8,8,7,5,5,5,5,5,2,2,1
United States,2020-02-12,12,12,11,11,11,11,11,11,11,11,8,8,7,5,5,5,5,5,2,2
United States,2020-02-13,13,12,12,11,11,11,11,11,11,11,11,8,8,7,5,5,5,5,5,2
United States,2020-02-14,13,13,12,12,11,11,11,11,11,11,11,11,8,8,7,5,5,5,5,5
United States,2020-02-15,13,13,13,12,12,11,11,11,11,11,11,11,11,8,8,7,5,5,5,5
United States,2020-02-16,13,13,13,13,12,12,11,11,11,11,11,11,11,11,8,8,7,5,5,5
United States,2020-02-17,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,8,8,7,5,5
United States,2020-02-18,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,8,8,7,5
United States,2020-02-19,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,8,8,7
United States,2020-02-20,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,8,8
United States,2020-02-21,15,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,8
United States,2020-02-22,15,15,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11
United States,2020-02-23,15,15,15,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11
United States,2020-02-24,51,15,15,15,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11
United States,2020-02-25,51,51,15,15,15,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11
United States,2020-02-26,57,51,51,15,15,15,13,13,13,13,13,13,13,13,12,12,11,11,11,11
United States,2020-02-27,58,57,51,51,15,15,15,13,13,13,13,13,13,13,13,12,12,11,11,11
United States,2020-02-28,60,58,57,51,51,15,15,15,13,13,13,13,13,13,13,13,12,12,11,11
United States,2020-02-29,68,60,58,57,51,51,15,15,15,13,13,13,13,13,13,13,13,12,12,11
United States,2020-03-01,74,68,60,58,57,51,51,15,15,15,13,13,13,13,13,13,13,13,12,12
United States,2020-03-02,98,74,68,60,58,57,51,51,15,15,15,13,13,13,13,13,13,13,13,12
United States,2020-03-03,118,98,74,68,60,58,57,51,51,15,15,15,13,13,13,13,13,13,13,13
United States,2020-03-04,149,118,98,74,68,60,58,57,51,51,15,15,15,13,13,13,13,13,13,13
United States,2020-03-05,217,149,118,98,74,68,60,58,57,51,51,15,15,15,13,13,13,13,13,13
United States,2020-03-06,262,217,149,118,98,74,68,60,58,57,51,51,15,15,15,13,13,13,13,13
United States,2020-03-07,402,262,217,149,118,98,74,68,60,58,57,51,51,15,15,15,13,13,13,13
United States,2020-03-08,518,402,262,217,149,118,98,74,68,60,58,57,51,51,15,15,15,13,13,13
United States,2020-03-09,583,518,402,262,217,149,118,98,74,68,60,58,57,51,51,15,15,15,13,13
United States,2020-03-10,959,583,518,402,262,217,149,118,98,74,68,60,58,57,51,51,15,15,15,13
United States,2020-03-11,1281,959,583,518,402,262,217,149,118,98,74,68,60,58,57,51,51,15,15,15
United States,2020-03-12,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60,58,57,51,51,15,15
United States,2020-03-13,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60,58,57,51,51,15
United States,2020-03-14,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60,58,57,51,51
United States,2020-03-15,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60,58,57,51
United States,2020-03-16,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60,58,57
United States,2020-03-17,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60,58
United States,2020-03-18,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60
United States,2020-03-19,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68
United States,2020-03-20,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74
United States,2020-03-21,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98
United States,2020-03-22,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118
United States,2020-03-23,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149
United States,2020-03-24,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217
United States,2020-03-25,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262
United States,2020-03-26,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402
United States,2020-03-27,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518
United States,2020-03-28,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959,583
United States,2020-03-29,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281,959
United States,2020-03-30,161831,140909,121465,101657,83836,65778,53736,43843,33276,25600,19273,13747,7783,6421,4632,3499,2727,2179,1663,1281
