country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,StringencyIndex,cases,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,cases_lag_5,cases_lag_6,cases_lag_7,cases_lag_8,cases_lag_9,cases_lag_10,cases_lag_11,cases_lag_12,cases_lag_13,cases_lag_14,cases_lag_15,cases_lag_16,cases_lag_17,cases_lag_18,cases_lag_19,deaths,recovered,population,population_density,date+1_pred,date+2_pred,date+3_pred,date+4_pred,date+5_pred,date+6_pred,date+7_pred,date+8_pred,date+9_pred,date+10_pred,date+1_linf,date+2_linf,date+3_linf,date+4_linf,date+5_linf,date+6_linf,date+7_linf,date+8_linf,date+9_linf,date+10_linf,date+1_lsup,date+2_lsup,date+3_lsup,date+4_lsup,date+5_lsup,date+6_lsup,date+7_lsup,date+8_lsup,date+9_lsup,date+10_lsup
Brazil,2020-02-29,-2.8571428571428568,4.964285714285714,-19.857142857142858,-6.357142857142858,4.964285714285714,3.1428571428571432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211049.519,25.251,1.9515907863963669,1.9043532987735947,1.858259175965037,1.813280743274936,1.7693909958626606,1.72656358252913,1.6847727898956768,1.6439935269658523,1.6042013100609125,1.5653722481199288,1.657759267320445,1.493810974013608,1.36144776770971,1.2463991840077846,1.1430337453711128,1.048405675340046,0.9607277371874731,0.8788090868430025,0.8018028606694794,0.7290771502799129,2.245422305472289,2.3148956235335816,2.3550705842203654,2.380162302542088,2.3957482463542084,2.404721489718214,2.408817842603881,2.4091779670887017,2.4065997594523454,2.401667345959945
Brazil,2020-03-01,-8.5,3.821428571428572,-24.142857142857146,-8.714285714285714,-0.5714285714285714,4.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211049.519,25.251,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.999999999999999,4.999999999999999,5.0,,,,,,,,,,,,,,,,,,,,
Brazil,2020-03-02,-5.178571428571429,2.5,-18.035714285714285,0.6785714285714286,18.178571428571427,-0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.11,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211049.519,25.251,2.470665252434027,2.7357628890728587,3.0008605257116905,3.2659581623505223,3.5310557989893536,3.796153435628186,4.061251072267018,4.32634870890585,4.591446345544681,4.8565439821835135,2.2014489530903654,2.3867985452429057,2.543157088818478,2.6772147792328496,2.7933922543956164,2.8944489250416523,2.9821858675512276,3.0578567039778486,3.1223874077478104,3.1764961581061337,2.739881551777689,3.0847272329028117,3.4585639626049036,3.854701545468195,4.268719343583092,4.69785794621472,5.140316276982807,5.594840713833852,6.060505283341553,6.536591806260895
Brazil,2020-03-03,-3.4642857142857144,2.5,-14.75,1.6428571428571428,16.428571428571427,-0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.11,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211049.519,25.251,2.1312720822951894,2.2625441645903788,2.3938162468855686,2.525088329180757,2.656360411475947,2.7876324937711363,2.9189045760663257,3.0501766583615155,3.1814487406567045,3.312720822951894,1.8490922951159647,1.8413196382291896,1.8504181046397208,1.8655071867079356,1.882671286448392,1.9000561251775143,1.9166542778599764,1.931872609481391,1.9453442953949456,1.9568358887238928,2.4134518694744136,2.683768690951568,2.9372143891314155,3.18466947165358,3.4300495365035024,3.675208862364759,3.9211548742726747,4.168480707241639,4.417553185918463,4.668605757179894
Brazil,2020-03-04,-2.392857142857143,1.8928571428571428,-10.392857142857142,1.5357142857142858,16.821428571428573,-0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.11,4,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211049.519,25.251,3.606776994571786,4.102844458971257,4.598911923370727,5.094979387770196,5.591046852169666,6.087114316569137,6.583181780968607,7.079249245368077,7.575316709767545,8.071384174167019,3.2058642013520755,3.662784391683709,4.085317089027301,4.474485321656231,4.835233380033646,5.17256281184714,5.490311394486502,5.791212316383062,6.077209154778885,6.349719725300622,4.007689787791496,4.542904526258803,5.112506757714151,5.715473453884161,6.346860324305687,7.001665821291133,7.6760521674507105,8.36728617435309,9.073424264756207,9.793048623033412
Brazil,2020-03-05,0.5357142857142857,4.714285714285714,-5.7857142857142865,4.642857142857143,17.428571428571427,-1.1785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.11,4,4,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211049.519,25.251,4.53428109250656,5.166060544045549,5.819715838379426,6.478903776405923,7.139568609784838,7.8006362516498395,8.461814650428279,9.12302359465679,9.784240972247733,10.445460679164308,4.159068840401553,4.734530234214397,5.3384131044504635,5.917358087600464,6.456106129085683,6.955617912492849,7.421834766162835,7.860367426520858,8.275379347190722,8.669813896035919,4.909493344611566,5.597590853876701,6.301018572308387,7.0404494652113785,7.823031090483996,8.645654590806831,9.501794534693722,10.385679762792721,11.293102597304742,12.221107462292693
Brazil,2020-03-06,3.928571428571429,8.285714285714286,-11.214285714285712,5.4642857142857135,17.892857142857142,-1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.11,13,4,4,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,211049.519,25.251,13.470122508716948,22.024557241466926,22.916970543963156,31.07117319486491,32.34291212249964,40.1376035387641,41.750074331753936,49.22183229592335,51.14036784271408,58.32204860084778,11.978065265918126,19.8586572985818,19.226391150312775,26.228063597234396,25.74006460758679,32.03350789829632,31.671932446040092,37.35860937734988,37.10676516933251,42.259104079414136,14.962179751515773,24.190457184352045,26.60754993761353,35.914282792495435,38.94575963741249,48.241699179231894,51.828216217467784,61.08505521449682,65.17397051609565,74.38499312228144
Brazil,2020-03-07,6.9642857142857135,11.25,-13.392857142857142,1.8928571428571428,6.321428571428571,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.11,13,13,4,4,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,211049.519,25.251,21.63167682908709,21.984926449085407,30.27781032708102,30.955987865500934,38.93724143410064,39.91429587483765,47.60890401760628,48.860872978377714,56.291817421972894,57.79665969861399,20.158551748719734,19.858556028102537,26.64237561857498,26.201275269353626,32.440942869608875,31.95813105422453,37.69993653146077,37.21422401773052,42.49932475622885,42.02699677796908,23.104801909454444,24.111296870068273,33.913245035587074,35.71070046164822,45.43353999859241,47.870460695450774,57.517871503751785,60.507521939024926,70.08431008771696,73.56632261925891
Brazil,2020-03-08,7.892857142857142,10.285714285714286,-10.785714285714288,-2.8571428571428568,3.3571428571428568,1.8571428571428568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.11,20,13,13,4,4,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,211049.519,25.251,20.56554700863703,27.045691916996894,28.0890936612738,34.129990879180106,35.57715242571247,41.24691057684524,43.03522596315084,48.391392922163064,50.46796370621225,55.55916412146907,19.071425916318333,24.845671653609052,24.37048333033461,29.210539512916817,28.90316654151096,33.01496985232484,32.83150424577735,36.340853062965984,36.24542375278038,39.24233956688012,22.059668100955726,29.245712180384746,31.807703992212996,39.049442245443394,42.251138309913976,49.478851301365644,53.23894768052432,60.44193278136013,64.69050365964411,71.87598867605801
Brazil,2020-03-09,-1.3214285714285714,3.5,-10.571428571428571,4.25,19.357142857142858,-0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.11,25,20,13,13,4,4,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,211049.519,25.251,27.88044225725725,35.924933015816215,37.97167477636372,44.97626888280016,49.38953418510442,53.684852379353806,60.30205023685674,63.47749164898574,69.99172921498456,74.24922454955562,26.400193465224284,33.88573209613242,34.49721373546855,40.119374695488965,43.0410454434961,45.39687964946685,50.26653054956661,51.27905053737094,55.66087194329645,57.64680190648009,29.360691049290214,37.96413393550002,41.44613581725889,49.83316307011134,55.73802292671272,61.97282510924077,70.33756992414688,75.67593276060055,84.32258648667269,90.8516471926312
Brazil,2020-03-10,0.35714285714285715,4.428571428571429,-9.035714285714286,4.892857142857143,18.107142857142858,-1.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.11,31,25,20,13,13,4,4,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,211049.519,25.251,38.18758385919397,44.66595818888155,52.630841580730134,60.228575723986594,68.5654126281914,77.14534810486381,85.94716297994721,95.19326216385201,104.55665609050341,114.27770319104287,36.7060126051413,42.61866500984054,49.154422341297895,55.33541688720873,61.901927842767705,68.39307594912239,74.91187235018077,81.52497340161062,88.03628376342333,94.60734199002724,39.66915511324665,46.713251367922574,56.10726082016238,65.12173456076445,75.22889741361509,85.89762026060524,96.98245360971363,108.86155092609337,121.07702841758345,133.94806439205848
Brazil,2020-03-11,-1.2142857142857142,1.0357142857142858,-7.071428571428571,2.607142857142857,17.285714285714285,-1.3214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.11,38,31,25,20,13,13,4,4,2,2,2,2,1,1,1,0,0,0,0,0,0,0,211049.519,25.251,44.47426040928544,52.242255377160255,59.73051034301574,67.8943439687764,76.27721870204778,84.89258070967598,93.89719062733664,103.03112172801701,112.48601094249784,122.10684795760109,43.007244958634274,50.21400866092181,56.291378706567976,63.059844927877066,69.69772418269612,76.2624438955682,83.0237296486122,89.57713955538401,96.2381623049062,102.77693241752465,45.9412758599366,54.27050209339871,63.1696419794635,72.72884300967573,82.85671322139945,93.52271752378378,104.77065160606108,116.48510390065005,128.7338595800895,141.43676349767756
